,,,,,,,,,,,
　国籍･地域（21区分）別　費目別購入率および購入者単価,,,,,,,,,,,
,,,,,,,,,,,
2022年（令和4年）  暦年　【試算値】,,,,,,（単位）回答数：人、購入率：％、購入者単価：円／人,,,,,
調査項目,,,韓国,中国,東南アジア,ヨーロッパ,北米,,,,
,,,購入率,購入率,購入率,購入率,購入率,,,,
旅行前支出,団体パッケージツアー,,6.8,0.1,11.2,4.8,1.5,,,,
【A1】,個人旅行向けパッケージ商品,,2.9,0.0,3.8,2.2,2.1,,,,
,往復航空（船舶）運賃,,90.4,99.9,85.0,93.0,96.3,,,,
日本滞在中の,宿泊費,,85.7,77.5,64.6,80.5,80.8,,,,
費目別支出,飲食費,,93.0,90.5,74.8,87.4,87.4,,,,
【A1】,交通費,,89.4,87.9,68.7,86.6,83.6,,,,
,,航空（日本国内移動のみ）,1.8,6.4,2.9,9.0,6.7,,,,
,,Japan Rail Pass,3.7,2.0,7.0,12.0,11.6,,,,
,,新幹線・鉄道・地下鉄・モノレール,71.0,62.0,55.9,68.7,67.9,,,,
,,バス,24.2,12.5,15.0,17.4,12.6,,,,
,,タクシー,24.3,14.1,21.6,35.9,34.3,,,,
,,レンタカー,4.0,3.0,4.6,3.2,1.9,,,,
,,船舶（日本国内移動のみ）,0.4,0.1,0.4,1.4,0.7,,,,
,,その他交通費,1.5,18.5,3.0,3.3,3.3,,,,
,娯楽等サービス費,,41.9,76.6,31.9,42.7,38.3,,,,
,,現地ツアー・観光ガイド,6.7,1.5,1.6,2.5,2.8,,,,
,,ゴルフ場・スポーツ施設利用料,1.0,0.1,0.2,0.5,1.1,,,,
,,テーマパーク,13.2,3.6,12.4,9.3,8.7,,,,
,,舞台・音楽鑑賞,2.0,1.1,0.5,2.6,0.9,,,,
,,スポーツ観戦,0.1,0.3,0.2,1.0,0.6,,,,
,,美術館・博物館・動植物園・水族館,11.1,6.5,17.2,30.7,26.3,,,,
,,スキー場リフト,0.0,0.6,0.4,0.1,0.2,,,,
,,温泉・温浴施設・ｴｽﾃ・ﾘﾗｸｾﾞｰｼｮﾝ,8.7,2.3,3.7,6.8,4.3,,,,
,,マッサージ・医療費,4.1,69.0,3.9,4.4,4.1,,,,
,,展示会・コンベンション参加費,1.1,0.1,0.3,0.4,0.6,,,,
,,レンタル料（レンタカーを除く）,0.1,0.0,0.1,0.5,0.2,,,,
,,その他娯楽等サービス費,3.3,11.8,1.2,4.9,1.7,,,,
,買物代,,96.2,90.5,92.3,89.6,87.4,,,,
,,菓子類,76.1,70.2,70.1,44.8,40.1,,,,
,,酒類,31.0,19.1,14.1,24.7,25.1,,,,
,,生鮮農産物,1.9,7.9,4.8,4.1,3.1,,,,
,,その他食料品・飲料・たばこ,40.4,44.0,41.4,41.7,48.5,,,,
,,化粧品・香水,14.9,49.1,21.7,10.7,6.9,,,,
,,医薬品,23.0,22.2,9.8,2.5,2.8,,,,
,,健康グッズ・トイレタリー,6.8,23.1,6.2,3.1,3.3,,,,
,,衣類,22.5,29.2,36.5,34.6,30.1,,,,
,,靴・かばん・革製品,10.1,23.2,27.6,11.9,12.0,,,,
,,電気製品（デジタルカメラ／PC／家電等）,1.7,15.4,5.0,5.2,4.4,,,,
,,時計・フィルムカメラ,0.5,6.7,4.4,1.3,1.3,,,,
,,宝石・貴金属,0.9,2.0,1.5,1.7,2.7,,,,
,,民芸品・伝統工芸品,2.7,1.3,4.1,19.4,13.6,,,,
,,本･雑誌･ガイドブックなど,3.1,4.9,2.3,11.6,5.4,,,,
,,音楽・映像・ゲームなどソフトウェア,2.7,2.6,1.7,5.4,3.7,,,,
,,その他買物代,7.4,1.7,6.5,10.0,9.4,,,,
,その他,,0.2,0.0,0.2,0.1,0.1,,,,
,,,,,,,,,,,
調査項目,,,韓国,中国,東南アジア,ヨーロッパ,北米,,,,
,,,購入者単価,購入者単価,購入者単価,購入者単価,購入者単価,,,,
旅行前支出,団体パッケージツアー,,"97,512","580,000","263,438","663,502","377,812",,,,
【A1】,個人旅行向けパッケージ商品,,"83,074",-,"251,975","561,768","465,858",,,,
,往復航空（船舶）運賃,,"47,970","292,345","122,602","228,478","229,371",,,,
日本滞在中の,宿泊費,,"46,251","196,148","95,097","147,553","125,143",,,,
費目別支出,飲食費,,"34,500","125,044","52,299","74,664","61,819",,,,
【A1】,交通費,,"12,228","41,976","27,367","40,903","36,801",,,,
,,航空（日本国内移動のみ）,"25,738","37,614","33,396","31,797","42,963",,,,
,,Japan Rail Pass,"13,582","35,535","28,957","36,425","38,056",,,,
,,新幹線・鉄道・地下鉄・モノレール,"7,889","35,279","16,653","23,346","19,685",,,,
,,バス,"3,479","7,434","7,926","5,173","6,235",,,,
