旅行・観光消費動向調査　2022年（確報）,,,,,,,,,,,,
第4表　旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(12区分)・交通機関(12区分)・宿泊数(8区分)・旅行形態(2区分)別延べ旅行者数,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数
,,,,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行
,,,,全体,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行
,,,,全目的,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務
調査期,時間軸コード,,,千人,千人,千人,千人,千人,千人,千人,千人,千人
2022年,2022000000,主目的地,全体,"417,854","232,467","144,828","57,568","30,071","185,387","139,475","26,527","19,385"
2022年,2022000000,主目的地  ,北海道,"24,338","15,328","9,487","3,516","2,325","9,010","6,243","1,459","1,308"
2022年,2022000000,主目的地  ,東北,"28,461","17,661","9,609","5,430","2,623","10,800","7,865","2,035",900
2022年,2022000000,主目的地  ,関東,"126,750","59,103","38,902","13,226","6,976","67,647","53,272","8,315","6,060"
2022年,2022000000,主目的地  ,北陸信越,"30,580","20,047","15,050","3,624","1,374","10,533","8,527","1,065",940
2022年,2022000000,主目的地  ,中部,"55,535","31,771","18,693","6,847","6,230","23,764","18,026","3,199","2,539"
2022年,2022000000,主目的地  ,近畿,"64,199","34,068","21,551","9,472","3,046","30,131","23,405","4,324","2,401"
2022年,2022000000,主目的地  ,中国,"21,920","12,538","6,441","4,932","1,165","9,381","6,190","1,782","1,409"
2022年,2022000000,主目的地  ,四国,"12,353","8,244","4,751","1,898","1,594","4,109","2,901",764,444
2022年,2022000000,主目的地  ,九州,"39,542","23,792","13,578","6,893","3,320","15,751","10,869","2,456","2,426"
2022年,2022000000,主目的地  ,沖縄,"6,661","5,904","4,301",586,"1,018",757,557,130,70
2022年,2022000000,同行者,全体,"417,854","232,467","144,828","57,568","30,071","185,387","139,475","26,527","19,385"
2022年,2022000000,同行者,自分ひとり,"76,310","43,967","11,914","17,555","14,498","32,343","16,567","6,291","9,485"
2022年,2022000000,同行者,夫婦･パートナー,"82,063","44,731","34,916","9,056",759,"37,332","29,684","6,958",690
2022年,2022000000,同行者,家族･親族,"171,445","99,893","69,914","28,934","1,045","71,552","59,036","11,527",989
2022年,2022000000,同行者,職場の同僚,"23,527","13,242","2,314",0,"10,928","10,285","3,649",0,"6,636"
2022年,2022000000,同行者,友人,"53,071","23,581","21,582","1,477",522,"29,490","27,922","1,473",95
2022年,2022000000,同行者,その他,"8,977","5,497","3,598",84,"1,815","3,480","2,035",38,"1,407"
2022年,2022000000,宿泊施設,全体,"232,467","232,467","144,828","57,568","30,071",***,***,***,***
2022年,2022000000,宿泊施設  ,ホテル (洋室主体),"124,579","124,579","87,867","12,275","24,438",***,***,***,***
2022年,2022000000,宿泊施設  ,旅館 (和室主体),"36,090","36,090","30,966","2,054","3,071",***,***,***,***
2022年,2022000000,宿泊施設  ,自己所有の別荘･リゾートマンション,"1,468","1,468","1,041",344,84,***,***,***,***
2022年,2022000000,宿泊施設  ,ペンション･民宿･貸別荘,"5,609","5,609","4,716",446,448,***,***,***,***
2022年,2022000000,宿泊施設  ,キャンプ場,"6,350","6,350","6,174",146,30,***,***,***,***
2022年,2022000000,宿泊施設  ,保養所･研修施設,"2,713","2,713","2,275",83,356,***,***,***,***
2022年,2022000000,宿泊施設  ,会員制の宿泊施設,"1,880","1,880","1,746",97,37,***,***,***,***
2022年,2022000000,宿泊施設  ,実家や親族･知人宅,"48,000","48,000","5,172","41,504","1,324",***,***,***,***
2022年,2022000000,宿泊施設  ,民泊（有料の住宅宿泊）,"1,292","1,292","1,062",87,143,***,***,***,***
2022年,2022000000,宿泊施設  ,車中泊,"2,975","2,975","2,622",215,138,***,***,***,***
2022年,2022000000,宿泊施設  ,その他,"2,751","2,751","1,769",316,666,***,***,***,***
2022年,2022000000,宿泊数,全体,"232,467","232,467","144,828","57,568","30,071",***,***,***,***
2022年,2022000000,宿泊数,1泊,"126,668","126,668","92,529","19,886","14,253",***,***,***,***
2022年,2022000000,宿泊数,2泊,"55,338","55,338","32,868","16,045","6,425",***,***,***,***
2022年,2022000000,宿泊数,3泊,"23,731","23,731","11,698","8,527","3,506",***,***,***,***
2022年,2022000000,宿泊数,4泊,"10,277","10,277","3,655","4,174","2,447",***,***,***,***
2022年,2022000000,宿泊数,5泊,"4,493","4,493","1,777","1,975",742,***,***,***,***
2022年,2022000000,宿泊数,6泊,"3,088","3,088",729,"1,659",700,***,***,***,***
2022年,2022000000,宿泊数,7泊,"1,929","1,929",459,"1,278",192,***,***,***,***
2022年,2022000000,宿泊数,8泊以上,"6,943","6,943","1,113","4,024","1,806",***,***,***,***
2022年,2022000000,旅行形態,全体,"417,854","232,467","144,828","57,568","30,071","185,387","139,475","26,527","19,385"
2022年,2022000000,旅行形態,個人旅行,"390,763","214,431","129,911","56,422","28,098","176,332","130,979","26,410","18,943"
2022年,2022000000,旅行形態,パック・団体旅行,"27,091","18,036","14,917","1,146","1,973","9,055","8,496",116,442
2022年1-3月,2022000103,主目的地,全体,"64,495","36,059","19,539","11,640","4,880","28,436","20,363","4,389","3,683"
2022年1-3月,2022000103,主目的地  ,北海道,"2,723","1,936","1,024",582,330,787,394,206,187
2022年1-3月,2022000103,主目的地  ,東北,"4,544","3,074","1,208","1,123",743,"1,471",794,365,312
2022年1-3月,2022000103,主目的地  ,関東,"18,796","8,923","5,197","2,465","1,261","9,873","7,484","1,146","1,243"
2022年1-3月,2022000103,主目的地  ,北陸信越,"4,827","3,107","2,317",562,228,"1,720","1,314",248,158
2022年1-3月,2022000103,主目的地  ,中部,"9,477","5,287","2,821","1,688",778,"4,190","3,415",530,246
2022年1-3月,2022000103,主目的地  ,近畿,"10,018","5,273","2,862","1,814",596,"4,746","3,536",827,383
2022年1-3月,2022000103,主目的地  ,中国,"3,856","1,920",713,"1,004",204,"1,936","1,073",298,566
2022年1-3月,2022000103,主目的地  ,四国,"1,950","1,311",764,464,83,639,386,173,80
2022年1-3月,2022000103,主目的地  ,九州,"6,614","4,051","2,018","1,572",462,"2,562","1,611",540,411
2022年1-3月,2022000103,主目的地  ,沖縄,569,511,258,92,161,58,49,9,0
2022年1-3月,2022000103,同行者,全体,"64,495","36,059","19,539","11,640","4,880","28,436","20,363","4,389","3,683"
2022年1-3月,2022000103,同行者,自分ひとり,"15,155","8,608","1,499","3,996","3,113","6,547","3,048",702,"2,797"
2022年1-3月,2022000103,同行者,夫婦･パートナー,"10,778","5,462","3,695","1,668",98,"5,316","4,118","1,039",159
2022年1-3月,2022000103,同行者,家族･親族,"27,618","16,125","10,286","5,639",200,"11,493","8,831","2,532",130
2022年1-3月,2022000103,同行者,職場の同僚,"2,035","1,444",157,0,"1,287",591,178,0,413
2022年1-3月,2022000103,同行者,友人,"7,801","3,744","3,474",255,14,"4,058","3,947",79,31
2022年1-3月,2022000103,同行者,その他,679,338,313,0,25,341,193,0,148
2022年1-3月,2022000103,宿泊施設,全体,"36,059","36,059","19,539","11,640","4,880",***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,ホテル (洋室主体),"16,566","16,566","11,632","1,562","3,372",***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,旅館 (和室主体),"5,260","5,260","4,419",356,485,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,自己所有の別荘･リゾートマンション,315,315,226,89,0,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,ペンション･民宿･貸別荘,779,779,606,83,89,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,キャンプ場,427,427,427,0,0,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,保養所･研修施設,351,351,337,14,0,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,会員制の宿泊施設,223,223,223,0,0,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,実家や親族･知人宅,"10,285","10,285",667,"9,268",350,***,***,***,***
2022年1-3月,2022000103,宿泊施設  ,民泊（有料の住宅宿泊）,274,274,267,0,8,***,***,***,***
