　国籍･地域（21区分）別　１人１回当たり旅行消費単価,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2022年（令和4年）  暦年　【試算値】,,,,,,,,,,（単位）回答数：人、消費単価：円／人,,,,
調査項目,,,韓国,,中国,,東南アジア,,ヨーロッパ,,北米,,,
,,,人数,消費単価,人数,消費単価,人数,消費単価,人数,消費単価,人数,消費単価,,
全体　【A1】,,,"3,943","127,273",853,"576,773","6,135","182,134","2,767","287,491","5,309","239,086",,
滞在日数,3日間以内,,742,"83,040",15,"101,628","1,163","86,169",71,"93,871",378,"50,501",,
（単一回答）,4～6日間,,"1,705","101,047",52,"210,001","1,785","119,734",500,"154,691",858,"178,238",,
【A1】,7～13日間,,694,"159,653",140,"352,282","1,595","197,414",952,"247,165","1,535","250,641",,
,14～20日間,,178,"211,737",179,"335,229",432,"251,811",516,"263,259",839,"297,598",,
,21～27日間,,80,"197,587",49,"393,132",127,"209,924",218,"282,305",370,"323,448",,
,28～90日間,,200,"323,105",217,"648,686",565,"243,242",340,"341,407",723,"406,237",,
,91日間以上1年未満,,344,"825,747",201,"1,109,255 ",468,"442,162",170,"944,492",606,"427,306",,
性別・年代,男性,,"2,610","131,350",621,"532,325","4,274","185,277","2,163","281,463","4,103","250,163",,
（単一回答）,,15～19歳,76,"134,760",19,"879,819",48,"232,899",33,"209,351",72,"173,349",,
【A1】,,20～29歳,741,"144,862",163,"781,290","1,047","187,957",337,"338,175",794,"332,518",,
,,30～39歳,782,"114,529",252,"434,174","1,520","175,971",586,"250,760",948,"237,132",,
,,40～49歳,547,"137,357",116,"463,754","1,014","177,962",556,"246,305",970,"229,113",,
,,50～59歳,319,"144,378",45,"409,632",488,"206,049",473,"266,070",825,"253,902",,
,,60～69歳,120,"131,488",24,"295,165",137,"251,329",148,"246,556",413,"207,727",,
,,70歳以上,25,"52,866",2,"116,163",20,"97,945",30,"232,576",81,"217,691",,
,女性,,"1,333","120,943",232,"694,074","1,861","183,361",604,"296,775","1,206","212,827",,
,,15～19歳,87,"165,825",11,"1,234,863",60,"193,065",26,"91,892",54,"479,186",,
,,20～29歳,586,"124,755",69,"885,175",469,"176,239",185,"479,831",327,"218,610",,
,,30～39歳,348,"127,432",56,"750,555",596,"176,904",138,"302,278",262,"241,942",,
,,40～49歳,167,"104,709",27,"714,556",394,"186,266",111,"205,756",191,"215,264",,
,,50～59歳,97,"104,291",21,"484,939",226,"195,073",94,"134,843",192,"208,771",,
,,60～69歳,35,"70,973",46,"350,199",99,"165,561",38,"131,231",135,"142,041",,
,,70歳以上,13,"54,256",2,"44,004",17,"180,423",12,"101,668",45,"163,174",,
日本への,1回目,,484,"100,684",222,"571,871","1,430","155,936","1,002","277,507","1,801","224,079",,
来訪回数,2回目,,478,"112,355",122,"617,647",815,"171,724",346,"321,270",723,"221,021",,
（単一回答）,3回目,,389,"112,167",147,"624,223",516,"187,285",222,"356,561",477,"241,159",,
【A1】,4回目,,376,"137,965",55,"786,568",392,"183,782",135,"208,633",325,"187,138",,
,5回目,,372,"126,607",55,"370,940",413,"206,178",156,"374,818",294,"255,926",,
,6～9回目,,492,"133,589",83,"477,011",638,"197,964",237,"279,560",450,"203,831",,
,10～19回,,615,"143,021",85,"573,533",961,"187,223",319,"271,990",527,"361,624",,
,20回以上,,737,"158,125",84,"556,363",970,"200,445",350,"304,650",712,"308,375",,
前回の,今回が初めて,,484,"100,684",222,"571,871","1,430","155,936","1,002","277,507","1,801","224,079",,
日本来訪時期,2回目以降,,"3,459","132,106",631,"578,479","4,705","188,853","1,765","293,539","3,508","250,206",,
（単一回答）,,1年以内,506,"198,372",163,"464,395","1,741","176,904",256,"288,627",851,"361,071",,
【A1】,,3年以内,"1,941","135,217",387,"569,090","2,265","200,222","1,111","300,018","1,800","247,686",,
,,5年以内,741,"110,464",66,"684,856",487,"204,113",260,"285,055",489,"201,917",,
,,10年以内,157,"97,423",13,"1,564,602",150,"179,081",92,"241,898",218,"265,871",,
,,10年よりも前,114,"116,542",2,"174,111",62,"199,481",46,"233,069",150,"200,262",,
過去1年間の,過去1年間は来訪していない,,"3,437","120,455",690,"602,188","4,393","187,924","2,511","286,971","4,458","230,442",,
日本来訪回数,1回,,290,"215,773",124,"526,322",915,"186,986",188,"343,360",616,"449,418",,
（単一回答）,2回,,137,"185,141",21,"323,007",325,"178,725",35,"214,929",139,"203,209",,
【A1】,3～5回,,60,"181,311",6,"335,992",278,"153,483",30,"170,591",70,"210,778",,
,6～9回,,13,"163,112",4,"6,550",92,"84,886",2,"32,524",9,"146,906",,
,10回以上,,6,"136,782",8,"149,723",132,"139,305",1,"21,167",17,"78,593",,
同行者,自分ひとり,,"1,788","160,741",456,"738,134","1,766","209,415","1,667","310,839","3,538","256,387",,
（単一回答）,夫婦・パートナー,,340,"100,387",33,"554,062",378,"226,188",282,"292,697",466,"210,095",,
【A1】,家族・親族,,501,"96,249",36,"625,211",812,"163,616",278,"261,062",368,"232,688",,
,職場の同僚,,738,"145,214",302,"326,763","2,695","162,760",449,"237,157",766,"281,822",,
,友人,,535,"103,092",26,"738,094",417,"217,451",74,"255,493",146,"187,661",,
,その他,,41,"63,045",0,-,67,"184,849",17,"128,189",25,"205,988",,
主な来訪目的,観光・レジャー,,"1,640","99,241",18,"434,514","1,462","177,386",444,"317,938",675,"247,622",,
（単一回答）,親族・知人訪問,,463,"98,177",150,"275,101",620,"135,827",554,"194,511","1,042","190,601",,
【A1】,ハネムーン,,6,"177,156",0,-,3,"35,768",7,"97,445",9,"256,446",,
,学校関連の旅行,,11,"98,884",2,"554,103",18,"174,987",5,"83,132",25,"178,550",,
,スポーツ・スポーツ観戦,,19,"131,892",1,"80,822",26,"196,150",13,"74,692",24,"148,492",,
,イベント,,14,"143,446",0,-,14,"151,839",12,"144,855",20,"462,275",,
,留学,,366,"752,440",127,"1,342,893",165,"489,061",123,"791,702",66,"535,084",,
,治療・検診,,5,"181,398",8,"4,199,721",10,"136,351",0,-,2,"207,181",,
,インセンティブツアー,,1,"125,600",1,"489,050",61,"78,468",12,"142,657",1,"239,127",,
,展示会・見本市,,72,"112,755",6,"538,324",48,"220,334",32,"161,068",16,"266,927",,
