国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
アメリカ,北米,,,,,1,8983,0.167,1.117952088,0.156517867,10389,0.14,,,,2014,20771,0.178,1.220009749,0.262096192,26215,0.151,,,,11318,0.187,1.146438456,0.185986923,13423,0.16,,,,2.312256484,0.211085512,2.523341996,4月,220890,,,1.835218236,0.117772898,1.952991135
カナダ,北米,,,,,2,950,0.018,1.316683872,0.362105263,1294,0.017,,,,2014,2295,0.02,1.331412564,0.377342048,3161,0.018,,,,1285,0.021,1.183304292,0.224124514,1573,0.019,,,,2.415789474,0.027023509,2.442812983,4月,220890,,,1.785992218,0.223543701,2.009535919
北米小計,北米,,,,,3,9933,0.185,1.136958954,0.176180409,11683,0.156,,,,2014,23066,0.197,1.231094006,0.273562820,29376,0.169,,,,12603,0.208,1.150197291,0.189875426,14996,0.179,,,,2.322158462,0.192264204,2.514422665,4月,220890,,,1.830199159,0.128723220,1.958922379
メキシコ,中南米,,,,,4,238,0.004,2.055154161,1.126050420,506,0.007,,,,2014,537,0.005,2.511139080,1.597765363,1395,0.008,,,,313,0.005,1.896246877,0.961661342,614,0.007,,,,2.256302521,0.500614475,2.756916996,4月,220890,,,1.715654952,0.556332019,2.271986971
ブラジル,中南米,,,,,5,911,0.017,1.060029511,0.096597146,999,0.016,,,,2014,1992,0.017,1.498992359,0.550702811,3089,0.018,,,,1008,0.017,1.407785113,0.456349206,1468,0.018,,,,2.186608123,0.905483969,3.092092092,4月,220890,,,1.976190476,0.128032957,2.104223433
その他,中南米,,,,,6,672,0.013,0.750882659,-0.223214286,522,0.005,,,,2014,1487,0.013,0.575311622,-0.404841964,885,0.005,,,,764,0.013,0.549119942,-0.431937173,434,0.005,,,,2.212797619,-0.517395320,1.695402299,4月,220890,,,1.946335079,0.092835428,2.039170507
南米小計,中南米,,,,,7,1821,0.034,1.076005888,0.113124657,2027,0.029,,,,2014,4016,0.034,1.292321426,0.336902390,5369,0.031,,,,2085,0.034,1.166474965,0.206714628,2516,0.03,,,,2.205381658,0.443360325,2.648741983,4月,220890,,,1.926139089,0.207803678,2.133942766
イギリス,ヨーロッパ,,,,,8,2837,0.053,1.558843827,0.612618964,4575,0.059,,,,2014,6838,0.059,1.528861950,0.581602808,10815,0.062,,,,3608,0.06,1.333435327,0.379434590,4977,0.059,,,,2.410292563,-0.046358136,2.363934426,4月,220890,,,1.895232816,0.277762965,2.172995781
フランス,ヨーロッパ,,,,,9,2231,0.042,1.565883410,0.619901390,3614,0.047,,,,2014,5190,0.044,1.602149082,0.657418112,8602,0.049,,,,2748,0.045,1.419376647,0.468340611,4035,0.048,,,,2.326311071,0.053877086,2.380188157,4月,220890,,,1.888646288,0.243200056,2.131846344
ドイツ,ヨーロッパ,,,,,10,1922,0.036,1.103956564,0.142039542,2195,0.028,,,,2014,4221,0.036,1.243298284,0.286188107,5429,0.031,,,,2193,0.036,1.137239457,0.176470588,2580,0.031,,,,2.196149844,0.277198675,2.473348519,4月,220890,,,1.924760602,0.179502964,2.104263566
