facility_id,facility_name,address,ward,hotel_license_type,license_date,latitude,longitude,ヨーロッパ小計,中国,北米小計,国内合計,東南アジア小計,海外合計,韓国
id_1,あらか嵐山渡月邸　南棟,京都市西京区嵐山中尾下町１４番地４　国有地,西京区,簡易宿所,R1.8.26,35.0105125,135.6784014,15,10,10,42,6,65,3
id_2,ＣＯＴＯ京都伏見稲荷１,京都市伏見区深草一ノ坪町２９番地７,伏見区,簡易宿所,H29.5.1,34.9686276,135.7694913,29,22,32,79,10,116,7
id_3,ホテルグラッドワン京都七条　ｂｙ　Ｍ’ｓ,京都市下京区正面通木屋町東入北側鍵屋町３３７番京都市下京区三ノ宮町通正面上る富松町２５９番,下京区,旅館・ホテル,H29.10.2,34.9921283,135.7659456,27,16,25,72,8,111,5
id_4,万葉居,京都市下京区油小路通五条上る上金仏町２６０番地２,下京区,簡易宿所,R1.8.20,34.9971093,135.7540401,21,14,18,52,8,86,5
id_5,京都旅宿　小春日和,京都市下京区西新屋敷下之町６番地３,下京区,簡易宿所,H29.4.19,34.9928361,135.7430825,9,6,9,29,3,45,1
id_6,利々　京都,京都市下京区新町通楊梅下る蛭子町１２３番地２,下京区,簡易宿所,R4.7.21,34.995088,135.7565688,9,6,9,24,3,42,2
id_7,ｈｙｇｇｅ花屋町,京都市下京区二人司町１２番地３,下京区,簡易宿所,R4.4.15,34.992614,135.7466089,8,5,6,21,3,32,2
id_8,喜承庵,京都市中京区麸屋町通二条上る布袋屋町４９５番地３,中京区,簡易宿所,R2.3.3,35.0145367,135.7656827,29,21,24,78,11,125,7
id_9,室・近吉,京都市下京区鍵屋町通烏丸西入鍵屋町３２６番地，３２７番地,下京区,簡易宿所,H25.9.30,34.9950424,135.7585262,20,15,19,68,8,91,4
id_10,ｇｕｅｓｔ　ｈｏｕｓｅ　Ｐｅａｃｅ,京都市南区八条通大宮西入九条町６２１番地２９,南区,簡易宿所,H30.1.9,34.9836439,135.748369,23,20,22,65,9,91,5
id_11,オリックス京都嵐山荘,京都市右京区嵯峨天龍寺芒ノ馬場町１７番地,右京区,簡易宿所,H26.3.10,35.0167611,135.6764674,7,4,5,17,3,29,2
id_12,ゲストハウス松家,京都市中京区押小路通柳馬場東入橘町６１３番地４,中京区,簡易宿所,H29.3.13,35.0122318,135.7660184,28,21,28,84,12,114,7
id_13,京町家　桃,京都市上京区下立売通千本西入稲葉町４５１番地１,上京区,簡易宿所,R4.12.1,35.0202554,135.7417576,25,17,26,82,10,128,6
id_14,悠,京都市下京区若宮通六条西入上若宮町９４番,下京区,簡易宿所,H21.4.8,34.9942355,135.7557937,10,0,8,34,3,40,0
