facility_id,facility_name,address,ward,hotel_license_type,license_date,latitude,longitude,ヨーロッパ小計,中国,北米小計,国内合計,東南アジア小計,海外合計,韓国
id_1,あらか嵐山渡月邸　南棟,京都市西京区嵐山中尾下町１４番地４　国有地,西京区,簡易宿所,R1.8.26,35.0105125,135.6784014,33,3,3,52,6,101,0
id_2,ＣＯＴＯ京都伏見稲荷１,京都市伏見区深草一ノ坪町２９番地７,伏見区,簡易宿所,H29.5.1,34.9686276,135.7694913,5,48,57,98,5,142,2
id_3,ホテルグラッドワン京都七条　ｂｙ　Ｍ’ｓ,京都市下京区正面通木屋町東入北側鍵屋町３３７番京都市下京区三ノ宮町通正面上る富松町２５９番,下京区,旅館・ホテル,H29.10.2,34.9921283,135.7659456,12,6,36,73,5,67,1
id_4,万葉居,京都市下京区油小路通五条上る上金仏町２６０番地２,下京区,簡易宿所,R1.8.20,34.9971093,135.7540401,2,0,28,74,1,62,0
id_5,京都旅宿　小春日和,京都市下京区西新屋敷下之町６番地３,下京区,簡易宿所,H29.4.19,34.9928361,135.7430825,2,8,0,33,1,14,0
id_6,利々　京都,京都市下京区新町通楊梅下る蛭子町１２３番地２,下京区,簡易宿所,R4.7.21,34.995088,135.7565688,0,2,1,28,0,4,1
id_7,ｈｙｇｇｅ花屋町,京都市下京区二人司町１２番地３,下京区,簡易宿所,R4.4.15,34.992614,135.7466089,2,5,5,25,0,14,0
id_8,喜承庵,京都市中京区麸屋町通二条上る布袋屋町４９５番地３,中京区,簡易宿所,R2.3.3,35.0145367,135.7656827,3,3,28,101,67,116,5
id_9,室・近吉,京都市下京区鍵屋町通烏丸西入鍵屋町３２６番地，３２７番地,下京区,簡易宿所,H25.9.30,34.9950424,135.7585262,9,27,30,72,11,89,1
id_10,ｇｕｅｓｔ　ｈｏｕｓｅ　Ｐｅａｃｅ,京都市南区八条通大宮西入九条町６２１番地２９,南区,簡易宿所,H30.1.9,34.9836439,135.748369,133,2,9,71,0,151,5
id_11,オリックス京都嵐山荘,京都市右京区嵯峨天龍寺芒ノ馬場町１７番地,右京区,簡易宿所,H26.3.10,35.0167611,135.6764674,1,1,0,21,2,7,2
id_12,ゲストハウス松家,京都市中京区押小路通柳馬場東入橘町６１３番地４,中京区,簡易宿所,H29.3.13,35.0122318,135.7660184,19,23,25,115,30,235,7
id_13,京町家　桃,京都市上京区下立売通千本西入稲葉町４５１番地１,上京区,簡易宿所,R4.12.1,35.0202554,135.7417576,81,124,41,92,14,423,4
id_14,悠,京都市下京区若宮通六条西入上若宮町９４番,下京区,簡易宿所,H21.4.8,34.9942355,135.7557937,4,21,32,32,0,60,1
id_15,慶有魚・芸軒,京都市東山区建仁寺町四条下る四丁目小松町５７２番地７,東山区,簡易宿所,R6.4.26,34.9984516,135.7742613,3,1,5,37,1,12,1
id_16,静か庵,京都市東山区三条通南裏白川筋西入三丁目南西海子町４２９番地３,東山区,簡易宿所,H28.7.12,35.009339,135.7770372,3,5,1,33,0,20,0
id_17,ＲＥＳＩＳＴＡＹ五条坂,京都市東山区建仁寺町五条下る一丁目東入芳野町１０５番地２，１０４番地，１０４番地１,東山区,簡易宿所,H31.1.21,35.0047085,135.7735187,1,0,0,50,4,12,0
id_18,京都Ｒａｎｚ 三条Ｏｇａｗａ,京都市中京区小川通三条下る猩々町１２１番地,中京区,簡易宿所,R3.6.17,35.0082629,135.754557,8,2,11,68,8,64,3
